SYS_FIELD_NAME,FIELD_DESC
TAXI_IN,"Taxi In Time, in Minutes"
CRS_ARR_TIME,CRS Arrival Time (local time: hhmm)
ARR_TIME,Actual Arrival Time (local time: hhmm)
ARR_DELAY,Difference in minutes between scheduled and actual arrival time. Early arrivals show negative numbers.
ARR_DELAY_NEW,Difference in minutes between scheduled and actual arrival time. Early arrivals set to 0.
ARR_DEL15,"Arrival Delay Indicator, 15 Minutes or More (1=Yes)"
ARR_DELAY_GROUP,"Arrival Delay intervals, every (15-minutes from <-15 to >180)"
ARR_TIME_BLK,"CRS Arrival Time Block, Hourly Intervals"
CANCELLED,Cancelled Flight Indicator (1=Yes)
CANCELLATION_CODE,Specifies The Reason For Cancellation
DIVERTED,Diverted Flight Indicator (1=Yes)
CRS_ELAPSED_TIME,"CRS Elapsed Time of Flight, in Minutes"
ACTUAL_ELAPSED_TIME,"Elapsed Time of Flight, in Minutes"
AIR_TIME,"Flight Time, in Minutes"
FLIGHTS,Number of Flights
DISTANCE,Distance between airports (miles)
DISTANCE_GROUP,"Distance Intervals, every 250 Miles, for Flight Segment"
CARRIER_DELAY,"Carrier Delay, in Minutes"
WEATHER_DELAY,"Weather Delay, in Minutes"
NAS_DELAY,"National Air System Delay, in Minutes"
SECURITY_DELAY,"Security Delay, in Minutes"
LATE_AIRCRAFT_DELAY,"Late Aircraft Delay, in Minutes"
FIRST_DEP_TIME,First Gate Departure Time at Origin Airport
TOTAL_ADD_GTIME,Total Ground Time Away from Gate for Gate Return or Cancelled Flight
LONGEST_ADD_GTIME,Longest Time Away from Gate for Gate Return or Cancelled Flight
DIV_AIRPORT_LANDINGS,Number of Diverted Airport Landings
DIV_REACHED_DEST,Diverted Flight Reaching Scheduled Destination Indicator (1=Yes)
DIV_ACTUAL_ELAPSED_TIME,"Elapsed Time of Diverted Flight Reaching Scheduled Destination, in Minutes.  The ActualElapsedTime column remains NULL for all diverted flights."
DIV_ARR_DELAY,Difference in minutes between scheduled and actual arrival time for a diverted flight reaching scheduled destination.  The ArrDelay column remains NULL for all diverted flights.
DIV_DISTANCE,Distance between scheduled destination and final diverted airport (miles).  Value will be 0 for diverted flight reaching scheduled destination.
DIV1_AIRPORT,Diverted Airport Code1
DIV1_AIRPORT_ID,Airport ID of Diverted Airport 1. Airport ID is a Unique Key for an Airport
DIV1_AIRPORT_SEQ_ID,Airport Sequence ID of Diverted Airport 1. Unique Key for Time Specific Information for an Airport
DIV1_WHEELS_ON,Wheels On Time (local time: hhmm) at Diverted Airport Code1
DIV1_TOTAL_GTIME,Total Ground Time Away from Gate at Diverted Airport Code1
DIV1_LONGEST_GTIME,Longest Ground Time Away from Gate at Diverted Airport Code1
DIV1_WHEELS_OFF,Wheels Off Time (local time: hhmm) at Diverted Airport Code1
DIV1_TAIL_NUM,Aircraft Tail Number for Diverted Airport Code1
DIV2_AIRPORT,Diverted Airport Code2
DIV2_AIRPORT_ID,Airport ID of Diverted Airport 2. Airport ID is a Unique Key for an Airport
DIV2_AIRPORT_SEQ_ID,Airport Sequence ID of Diverted Airport 2. Unique Key for Time Specific Information for an Airport
DIV2_WHEELS_ON,Wheels On Time (local time: hhmm) at Diverted Airport Code2
DIV2_TOTAL_GTIME,Total Ground Time Away from Gate at Diverted Airport Code2
DIV2_LONGEST_GTIME,Longest Ground Time Away from Gate at Diverted Airport Code2
DIV2_WHEELS_OFF,Wheels Off Time (local time: hhmm) at Diverted Airport Code2
DIV2_TAIL_NUM,Aircraft Tail Number for Diverted Airport Code2
DIV3_AIRPORT,Diverted Airport Code3
DIV3_AIRPORT_ID,Airport ID of Diverted Airport 3. Airport ID is a Unique Key for an Airport
DIV3_AIRPORT_SEQ_ID,Airport Sequence ID of Diverted Airport 3. Unique Key for Time Specific Information for an Airport
DIV3_WHEELS_ON,Wheels On Time (local time: hhmm) at Diverted Airport Code3
DIV3_TOTAL_GTIME,Total Ground Time Away from Gate at Diverted Airport Code3
DIV3_LONGEST_GTIME,Longest Ground Time Away from Gate at Diverted Airport Code3
DIV3_WHEELS_OFF,Wheels Off Time (local time: hhmm) at Diverted Airport Code3
DIV3_TAIL_NUM,Aircraft Tail Number for Diverted Airport Code3
DIV4_AIRPORT,Diverted Airport Code4
DIV4_AIRPORT_ID,Airport ID of Diverted Airport 4. Airport ID is a Unique Key for an Airport
DIV4_AIRPORT_SEQ_ID,Airport Sequence ID of Diverted Airport 4. Unique Key for Time Specific Information for an Airport
DIV4_WHEELS_ON,Wheels On Time (local time: hhmm) at Diverted Airport Code4
DIV4_TOTAL_GTIME,Total Ground Time Away from Gate at Diverted Airport Code4
DIV4_LONGEST_GTIME,Longest Ground Time Away from Gate at Diverted Airport Code4
DIV4_WHEELS_OFF,Wheels Off Time (local time: hhmm) at Diverted Airport Code4
DIV4_TAIL_NUM,Aircraft Tail Number for Diverted Airport Code4
DIV5_AIRPORT,Diverted Airport Code5
DIV5_AIRPORT_ID,Airport ID of Diverted Airport 5. Airport ID is a Unique Key for an Airport
DIV5_AIRPORT_SEQ_ID,Airport Sequence ID of Diverted Airport 5. Unique Key for Time Specific Information for an Airport
DIV5_WHEELS_ON,Wheels On Time (local time: hhmm) at Diverted Airport Code5
DIV5_TOTAL_GTIME,Total Ground Time Away from Gate at Diverted Airport Code5
DIV5_LONGEST_GTIME,Longest Ground Time Away from Gate at Diverted Airport Code5
DIV5_WHEELS_OFF,Wheels Off Time (local time: hhmm) at Diverted Airport Code5
DIV5_TAIL_NUM,Aircraft Tail Number for Diverted Airport Code5
